RecordID,ClubName,League/Country,BootsName,BootsMaterial,BootsBrand,BootsPack,BootsType,BootsPosition,BootsTopPlayers,PlayerName,PlayerPosition,PlayerNationality,PlayerMarketValue,,,,
1679742361-85,VfB Stuttgart,Bundesliga,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Konstantinos Mavropanos,Center Back,Greece,€15 million,,,,
1679742361-86,VfB Stuttgart,Bundesliga,Predator Freak.1 Low,null,adidas,null,Control,null,Jude Bellingham,Florian Schock,Goalkeeper,Germany,€0 million,,,,
1679742361-87,VfB Stuttgart,Bundesliga,Copa Pure.1,Fusionskin,adidas,Own Your Football,Control,Midfield,Paulo Dybala,Fabian Bredlow,Goalkeeper,Germany,€1 million,,,,
1679742361-88,VfB Stuttgart,Bundesliga,Predator Accuracy.1,Primeknit,adidas,Own Your Football,Control,Midfield,Jude Bellingham,Florian Müller,Goalkeeper,Germany,€3 million,,,,
1679742361-89,Schalke 04,Bundesliga,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Sebastian Polter,Center Forward,Germany,€2 million,,,,
1679742361-90,Schalke 04,Bundesliga,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Marius Bülter,Left Winger,Germany,€3 million,,,,
1679742361-94,Schalke 04,Bundesliga,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Kenan Karaman,Center Forward,Turkey,€1 million,,,,
1679742361-96,Schalke 04,Bundesliga,Nemeziz.1,Knit,adidas,null,Agility,Attack,Evan Ferguson,Dominick Drexler,Attacking Midfielder,Germany,€1 million,,,,
1679742361-97,Schalke 04,Bundesliga,X Speedflow.1,Synthetic,adidas,Diamond Edge,Speed,Attack,Lionel Messi,Niklas Tauer,Defensive Midfielder,Germany,€2 million,,,,
1679742361-100,Schalke 04,Bundesliga,Copa Sense.1,K-Leather,adidas,Diamond Edge,Control,Midfield,Paulo Dybala,Danny Latza,Central Midfielder,Germany,€1 million,,,,
1679742361-101,Schalke 04,Bundesliga,X Speedportal+,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Tom Krauß,Central Midfielder,Germany,€6 million,,,,
1679742361-111,Schalke 04,Bundesliga,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Henning Matriciani,Center Back,Germany,€1 million,,,,
1679742361-115,Schalke 04,Bundesliga,X Speedflow.1,Synthetic,adidas,Diamond Edge,Speed,Attack,Lionel Messi,Timothée Kolodziejczak,Center Back,France,€2 million,,,,
1679742361-119,Schalke 04,Bundesliga,X Speedflow.1,Synthetic,adidas,Diamond Edge,Speed,Attack,Lionel Messi,Michael Langer,Goalkeeper,Austria,€0 million,,,,
1679742361-120,Schalke 04,Bundesliga,Predator Accuracy.1 Low,Primeknit,adidas,Own Your Football,Control,Midfield,Jude Bellingham,Ralf Fährmann,Goalkeeper,Germany,€0 million,,,,
1679742361-125,Borussia Mönchengladbach,Bundesliga,X Speedportal+,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Alassane Plea,Left Winger,France,€15 million,,,,
1679742361-128,Borussia Mönchengladbach,Bundesliga,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Conor Noß,Attacking Midfielder,Ireland,€1 million,,,,
1679742361-131,Borussia Mönchengladbach,Bundesliga,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Florian Neuhaus,Central Midfielder,Germany,€20 million,,,,
1679742361-133,Borussia Mönchengladbach,Bundesliga,Predator Accuracy+,Primeknit,adidas,Own Your Football,Control,Midfield,Jude Bellingham,Manu Koné,Central Midfielder,France,€25 million,,,,
1679742361-134,Borussia Mönchengladbach,Bundesliga,Copa 20.1,Fusionskin,adidas,null,Control,Midfield,Paulo Dybala,Christoph Kramer,Defensive Midfielder,Germany,€3 million,,,,
1679742361-135,Borussia Mönchengladbach,Bundesliga,Copa Pure.1,Fusionskin,adidas,Own Your Football,Control,Midfield,Paulo Dybala,Marvin Friedrich,Center Back,Germany,€8 million,,,,
1679742361-140,Borussia Mönchengladbach,Bundesliga,Copa 20.1,Fusionskin,adidas,null,Control,Midfield,Paulo Dybala,Stefan Lainer,Right Back,Austria,€4 million,,,,
1679742361-154,1. FSV Mainz 05,Bundesliga,Predator Accuracy.1,Primeknit,adidas,Own Your Football,Control,Midfield,Jude Bellingham,Ludovic Ajorque,Center Forward,France,€11 million,,,,
1679742361-155,1. FSV Mainz 05,Bundesliga,X Speedflow.1,Synthetic,adidas,Diamond Edge,Speed,Attack,Lionel Messi,Jonathan Burkardt,Center Forward,Germany,€15 million,,,,
1679742361-158,1. FSV Mainz 05,Bundesliga,X Speedflow.1,Synthetic,adidas,Diamond Edge,Speed,Attack,Lionel Messi,Anton Stach,Defensive Midfielder,Germany,€15 million,,,,
1679742361-160,1. FSV Mainz 05,Bundesliga,X Speedportal.1,Speedskin,adidas,Game Data,Speed,Attack,Lionel Messi,Leandro Barreiro,Central Midfielder,Luxembourg,€8 million,,,,
1679742361-165,1. FSV Mainz 05,Bundesliga,Nemeziz.1,Knit,adidas,null,Agility,Attack,Evan Ferguson,Silvan Widmer,Right Back,Switzerland,€5 million,,,,
1679742361-168,1. FSV Mainz 05,Bundesliga,Predator Freak.1 Low,null,adidas,null,Control,null,Jude Bellingham,Stefan Bell,Center Back,Germany,€3 million,,,,
1679742361-170,1. FSV Mainz 05,Bundesliga,X Speedportal+,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Maxim Leitsch,Center Back,Germany,€5 million,,,,
1679742361-171,1. FSV Mainz 05,Bundesliga,X Speedportal+,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Anthony Caci,Left Back,France,€7 million,,,,
1679742361-172,1. FSV Mainz 05,Bundesliga,Copa Pure.1,Fusionskin,adidas,Own Your Football,Control,Midfield,Paulo Dybala,Robin Zentner,Goalkeeper,Germany,€5 million,,,,
1679742361-173,1. FSV Mainz 05,Bundesliga,Predator Accuracy.1 Low,Primeknit,adidas,Own Your Football,Control,Midfield,Jude Bellingham,Finn Dahmen,Goalkeeper,Germany,€1 million,,,,
1679742361-174,1. FSV Mainz 05,Bundesliga,X 19.1,Synthetic,adidas,null,Speed,Attack,Lionel Messi,Lasse Rieß,Goalkeeper,Germany,€0 million,,,,
1679742361-178,1. FC Köln,Bundesliga,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Mark Uth,Center Forward,Germany,€3 million,,,,
1679742361-187,1. FC Köln,Bundesliga,X Speedportal.1,Speedskin,adidas,Game Data,Speed,Attack,Lionel Messi,Steffen Tigges,Center Forward,Germany,€4 million,,,,
1679742361-190,1. FC Köln,Bundesliga,Copa Pure.1,Fusionskin,adidas,Own Your Football,Control,Midfield,Paulo Dybala,Ellyes Skhiri,Defensive Midfielder,Tunisia,€13 million,,,,
1679742361-194,1. FC Köln,Bundesliga,X Speedportal.1,Speedskin,adidas,Game Data,Speed,Attack,Lionel Messi,Eric Martel,Defensive Midfielder,Germany,€4 million,,,,
1679742361-199,1. FC Köln,Bundesliga,Predator Accuracy.1 Low,Primeknit,adidas,Own Your Football,Control,Midfield,Jude Bellingham,Luca Kilian,Center Back,Germany,€5 million,,,,
