RecordID,ClubName,League/Country,BootsName,BootsMaterial,BootsBrand,BootsPack,BootsType,BootsPosition,BootsTopPlayers,PlayerName,PlayerPosition,PlayerNationality,PlayerMarketValue,,,,
1679742361-2340,Watford,Other League,Predator Accuracy+,Primeknit,adidas,Own Your Football,Control,Midfield,Jude Bellingham,Hamza Choudhury,Defensive Midfielder,England,€5 million,Fortuna Düsseldorf,,,
1679742361-2341,Watford,Other League,Nemeziz.1,Knit,adidas,null,Agility,Attack,Evan Ferguson,Francisco Sierralta,Center Back,Chile,€2 million,Dijon FCO,,,
1679742361-2345,Watford,Other League,X Speedportal+,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Hassane Kamara,Left Back,-,€6 million,FC Crotone,,,
1679742361-2347,Watford,Other League,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Mario Gaspar,Right Back,Spain,€1 million,AC Cesena,,,
1679742361-2348,Watford,Other League,F50 Adizero IV Leather,Leather,adidas,Speed Legacy,Speed,Attack,Jordi Alba,Jeremy Ngakia,Right Back,Congo Dr,€3 million,Cardiff City,,,
1679742361-2356,Venezia FC,Other League,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Joel Pohjanpalo,Center Forward,Finland,€4 million,Benevento Calcio,,,
1679742361-2357,Venezia FC,Other League,F50 Adizero IV Leather,Leather,adidas,Speed Legacy,Speed,Attack,Jordi Alba,Mikael Egill Ellertsson,Central Midfielder,Iceland,€1 million,BATE,,,
1679742361-2369,Venezia FC,Other League,Copa Pure.1,Fusionskin,adidas,Own Your Football,Control,Midfield,Paulo Dybala,Luca Ceppitelli,Center Back,Italy,€1 million,Shakhtar Donetsk,,,
1679742361-2371,Venezia FC,Other League,Copa Pure.1,Fusionskin,adidas,Own Your Football,Control,Midfield,Paulo Dybala,Jesse Joronen,Goalkeeper,Finland,€1 million,SSC Napoli,,,
1679742361-2372,Venezia FC,Other League,Predator Freak.1,null,adidas,null,Control,null,Jude Bellingham,Bruno Bertinato,Goalkeeper,Brazil,€0 million,,,,
1679742361-2375,Swansea City,Other League,Predator Freak.1 Low,null,adidas,null,Control,null,Jude Bellingham,Jay Fulton,Central Midfielder,Scotland,€1 million,,,,
1679742361-2376,Swansea City,Other League,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Luke Cundle,Central Midfielder,England,€1 million,,,,
1679742361-2378,Swansea City,Other League,Predator 18.1,Primeknit,adidas,null,Control,Midfield,Jude Bellingham,Matt Grimes,Central Midfielder,England,€7 million,,,,
1679742361-2386,Sunderland,Other League,F50 Adizero IV Leather,Leather,adidas,Speed Legacy,Speed,Attack,Jordi Alba,Patrick Roberts,Right Winger,England,€2 million,,,,
1679742361-2387,Sunderland,Other League,X Speedflow.1,Synthetic,adidas,Escape Light,Speed,Attack,Lionel Messi,Isaac Lihadji,Right Winger,France,€2 million,,,,
1679742361-2388,Sunderland,Other League,X Ghosted.1,Synthetic,adidas,null,Speed,null,Lionel Messi,Amad Diallo,Right Winger,-,€7 million,,,,
1679742361-2390,Sunderland,Other League,X Ghosted.1,Synthetic,adidas,null,Speed,null,Lionel Messi,Jack Clarke,Left Winger,England,€4 million,,,,
1679742361-2397,Stoke City,Other League,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Dwight Gayle,Center Forward,England,€1 million,,,,
1679742361-2401,Stoke City,Other League,Copa 20.1,Fusionskin,adidas,Glory Hunter,Control,Midfield,Paulo Dybala,Lewis Baker,Central Midfielder,England,€3 million,,,,
1679742361-2402,Stoke City,Other League,X Speedflow.1,Synthetic,adidas,Meteorite,Speed,Attack,Lionel Messi,Sam Clucas,Central Midfielder,England,€1 million,,,,
1679742361-2403,Stoke City,Other League,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Will Smallbone,Central Midfielder,Ireland,€2 million,,,,
1679742361-2404,Stoke City,Other League,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Tom Edwards,Right Back,England,€2 million,,,,
1679742361-2405,Stoke City,Other League,Copa Pure.1,Fusionskin,adidas,Own Your Football,Control,Midfield,Paulo Dybala,Ben Wilmot,Center Back,England,€6 million,,,,
1679742361-2407,Stoke City,Other League,F50 Adizero IV Leather,Leather,adidas,Speed Legacy,Speed,Attack,Jordi Alba,Ki-Jana Hoever,Right Back,Netherlands,€4 million,,,,
1679742361-2409,Stoke City,Other League,X Speedflow+,null,adidas,Sapphire Edge,Speed,null,Lionel Messi,Axel Tuanzebe,Center Back,England,€6 million,,,,
1679742361-2410,Stoke City,Other League,X Speedportal+,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Matija Sarkic,Goalkeeper,Montenegro,€2 million,,,,
1679742361-2413,Sporting de Gijón,Other League,Nemeziz.1,Knit,adidas,null,Agility,Attack,Evan Ferguson,Cristo González,Center Forward,Spain,€2 million,,,,
1679742361-2414,Sporting de Gijón,Other League,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Jony,Left Winger,Spain,€1 million,,,,
1679742361-2416,Sporting de Gijón,Other League,X Speedflow.1,Synthetic,adidas,Sapphire Edge,Speed,Attack,Lionel Messi,Uros Djurdjevic,Center Forward,Montenegro,€4 million,,,,
1679742361-2419,Sporting de Gijón,Other League,Predator 18+,Primeknit,adidas,null,Control,Midfield,Jude Bellingham,Nacho Méndez,Central Midfielder,Spain,€1 million,,,,
1679742361-2426,Spartak Moscow,Other League,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Aleksandr Sobolev,Center Forward,Russia,€9 million,,,,
1679742361-2435,Spartak Moscow,Other League,X Speedportal+,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Tomás Tavares,Right Back,Portugal,€2 million,,,,
1679742361-2436,Spartak Moscow,Other League,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Maciej Rybus,Left Back,Poland,€1 million,,,,
1679742361-2439,Sparta Prague,Other League,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Lukas Haraslin,Left Winger,Slovakia,€2 million,,,,
1679742361-2445,Sparta Prague,Other League,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Ladislav Krejci,Left Midfielder,-,€0 million,,,,
1679742361-2446,Sparta Prague,Other League,Predator Accuracy.1 Low,Primeknit,adidas,Own Your Football,Control,Midfield,Jude Bellingham,Dimitrije Kamenovic,Left Back,Serbia,€1 million,,,,
1679742361-2448,S.P.A.L. 2013,Other League,Nemeziz.1,Knit,adidas,null,Agility,Attack,Evan Ferguson,Giannis Fetfatzidis,Right Winger,Greece,€1 million,,,,
1679742361-2450,S.P.A.L. 2013,Other League,X Speedflow+,null,adidas,Meteorite,Speed,null,Lionel Messi,Nicola Rauti,Center Forward,Italy,€0 million,,,,
1679742361-2451,S.P.A.L. 2013,Other League,Copa Pure.1,Fusionskin,adidas,Own Your Football,Control,Midfield,Paulo Dybala,Giuseppe Rossi,Center Forward,Italy,€0 million,,,,
1679742361-2453,S.P.A.L. 2013,Other League,Predator Accuracy.1 Low,Primeknit,adidas,Own Your Football,Control,Midfield,Jude Bellingham,Luca Valzania,Central Midfielder,Italy,€1 million,,,,
1679742361-2454,S.P.A.L. 2013,Other League,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Franco Zuculini,Central Midfielder,Argentina,€0 million,,,,
1679742361-2458,S.P.A.L. 2013,Other League,Predator Accuracy.1 Low,Primeknit,adidas,Own Your Football,Control,Midfield,Jude Bellingham,Alessandro Murgia,Central Midfielder,Italy,€1 million,,,,
1679742361-2464,S.P.A.L. 2013,Other League,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Alessandro Tripaldelli,Left Back,Italy,€1 million,,,,
1679742361-2467,S.P.A.L. 2013,Other League,X 19.1,Synthetic,adidas,null,Speed,Attack,Lionel Messi,Alessandro Fiordaliso,Right Back,Italy,€0 million,,,,
1679742361-2472,Sheffield United,Other League,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Daniel Jebbison,Center Forward,England,€1 million,,,,
1679742361-2473,Sheffield United,Other League,X 19+,Synthetic,adidas,null,Speed,Attack,Lionel Messi,Rhian Brewster,Center Forward,England,€5 million,,,,
1679742361-2475,Sheffield United,Other League,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Iliman Ndiaye,Supporting Striker,Senegal,€7 million,,,,
1679742361-2476,Sheffield United,Other League,Copa Pure+,Fusionskin,adidas,Own Your Football,Control,Midfield,Paulo Dybala,Oliver Norwood,Central Midfielder,Northern Ireland,€3 million,,,,
1679742361-2479,Sheffield United,Other League,Copa Pure.1,Fusionskin,adidas,Own Your Football,Control,Midfield,Paulo Dybala,Sander Berge,Defensive Midfielder,Norway,€16 million,,,,
1679742361-2481,Sheffield United,Other League,F50 X Ghosted Adizero,Synthetic,adidas,Champions League,Speed,Attack,Lionel Messi,Jack Robinson,Center Back,England,€1 million,,,,
1679742361-2483,Sheffield United,Other League,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Enda Stevens,Left Back,Ireland,€1 million,,,,
1679742361-2485,Sheffield United,Other League,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,John Egan,Center Back,Ireland,€7 million,,,,
1679742361-2487,Sheffield United,Other League,Copa 20.1,Fusionskin,adidas,null,Control,Midfield,Paulo Dybala,Jack O'Connell,Center Back,England,€1 million,,,,
1679742361-2488,Sheffield United,Other League,Nemeziz+,Knit,adidas,null,Agility,Attack,Evan Ferguson,Jayden Bogle,Right Back,England,€4 million,,,,
1679742361-2491,Sheffield United,Other League,Copa 18.1,K-Leather,adidas,null,Heritage,Defence,Paulo Dybala,Ciaran Clark,Center Back,Ireland,€1 million,,,,
1679742361-2494,AS Saint-Etienne,Other League,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Mathieu Cafaro,Left Winger,France,€3 million,,,,
1679742361-2498,AS Saint-Etienne,Other League,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Aimen Moueffek,Central Midfielder,France,€1 million,,,,
1679742361-2499,AS Saint-Etienne,Other League,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Dylan Chambost,Attacking Midfielder,France,€1 million,,,,
1679742361-2502,AS Saint-Etienne,Other League,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Niels Nkounkou,Left Back,France,€3 million,,,,
1679742361-2505,AS Saint-Etienne,Other League,Copa 20.1,Fusionskin,adidas,null,Control,Midfield,Paulo Dybala,Anthony Briançon,Center Back,France,€1 million,,,,
1679742361-2506,AS Saint-Etienne,Other League,Predator Accuracy.1 Low,Primeknit,adidas,Own Your Football,Control,Midfield,Jude Bellingham,Jimmy Giraudon,Center Back,France,€1 million,,,,
1679742361-2508,AS Saint-Etienne,Other League,Predator Accuracy.1,Primeknit,adidas,Own Your Football,Control,Midfield,Jude Bellingham,Mickaël Nade,Center Back,France,€2 million,,,,
1679742361-2509,AS Saint-Etienne,Other League,X Speedportal.1,Speedskin,adidas,Al Rihla,Speed,Attack,Lionel Messi,Saïdou Sow,Center Back,Guinea,€4 million,,,,
1679742361-2512,AS Saint-Etienne,Other League,Predator Accuracy.1 Low,Primeknit,adidas,Own Your Football,Control,Midfield,Jude Bellingham,Boubacar Fall,Goalkeeper,Senegal,€0 million,,,,
1679742361-2514,Royal Antwerp,Other League,X Speedportal+,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Calvin Stengs,Right Winger,Netherlands,€11 million,,,,
1679742361-2517,Royal Antwerp,Other League,Predator Accuracy.1,Primeknit,adidas,Own Your Football,Control,Midfield,Jude Bellingham,Pieter Gerkens,Central Midfielder,Belgium,€3 million,,,,
1679742361-2520,Royal Antwerp,Other League,Predator Accuracy.1 Low,Primeknit,adidas,Own Your Football,Control,Midfield,Jude Bellingham,Ritchie De Laet,Right Back,Belgium,€1 million,,,,
1679742361-2527,FC Rostov,Other League,Copa 20.1,Fusionskin,adidas,null,Control,Midfield,Paulo Dybala,Daniil Utkin,Central Midfielder,Russia,€7 million,,,,
1679742361-2528,FC Rostov,Other League,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Aleksandr Silyanov,Right Back,Russia,€4 million,,,,
1679742361-2534,Rapid Wien,Other League,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Nicolas Kühn,Right Winger,Germany,€2 million,,,,
1679742361-2535,Rapid Wien,Other League,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Guido Burgstaller,Center Forward,Austria,€1 million,,,,
1679742361-2537,Rapid Wien,Other League,X Speedflow.1,Synthetic,adidas,Diamond Edge,Speed,Attack,Lionel Messi,Denso Kasius,Right Back,Netherlands,€2 million,,,,
1679742361-2541,Queens Park Rangers,Other League,Nemeziz.1,Knit,adidas,null,Agility,Attack,Evan Ferguson,Tyler Roberts,Center Forward,Wales,€4 million,,,,
1679742361-2548,Queens Park Rangers,Other League,Predator Accuracy.1 Low,Primeknit,adidas,Own Your Football,Control,Midfield,Jude Bellingham,Stefan Johansen,Central Midfielder,Norway,€1 million,,,,
1679742361-2549,Queens Park Rangers,Other League,Copa Pure+,Fusionskin,adidas,Own Your Football,Control,Midfield,Paulo Dybala,Tim Iroegbunam,Central Midfielder,England,€3 million,,,,
1679742361-2550,Queens Park Rangers,Other League,Predator Freak.1,null,adidas,null,Control,null,Jude Bellingham,Sam Field,Defensive Midfielder,England,€2 million,,,,
1679742361-2554,Queens Park Rangers,Other League,Predator Accuracy+,Primeknit,adidas,Own Your Football,Control,Midfield,Jude Bellingham,Kenneth Paal,Left Back,-,€2 million,,,,
1679742361-2565,Pescara Calcio,Other League,Predator Edge.1,Primeknit,adidas,Sapphire Edge,Control,Midfield,Jude Bellingham,Hamza Rafia,Attacking Midfielder,Tunisia,€1 million,,,,
1679742361-2566,Pescara Calcio,Other League,Copa Pure+,Fusionskin,adidas,Own Your Football,Control,Midfield,Paulo Dybala,Luca Palmiero,Defensive Midfielder,Italy,€1 million,,,,
1679742361-2569,Pescara Calcio,Other League,Predator 20.1,Primeknit,adidas,null,Control,Midfield,Jude Bellingham,Alessandro Crescenzi,Left Back,Italy,€0 million,,,,
1679742361-2573,Parma Calcio,Other League,X Speedportal+,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Gabriel Charpentier,Center Forward,-,€2 million,,,,
1679742361-2574,Parma Calcio,Other League,Nemeziz.1,Knit,adidas,null,Agility,Attack,Evan Ferguson,Roberto Inglese,Center Forward,Italy,€1 million,,,,
1679742361-2576,Parma Calcio,Other League,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Luca Zanimacchia,Right Winger,Italy,€2 million,,,,
1679742361-2578,Parma Calcio,Other League,Copa Sense.1,K-Leather,adidas,Superlative,Control,Midfield,Paulo Dybala,Nahuel Estévez,Central Midfielder,Argentina,€1 million,,,,
1679742361-2579,Parma Calcio,Other League,Nemeziz.1,Knit,adidas,null,Agility,Attack,Evan Ferguson,Franco Vázquez,Attacking Midfielder,Argentina,€2 million,,,,
1679742361-2580,Parma Calcio,Other League,Nemeziz.1,Knit,adidas,null,Agility,Attack,Evan Ferguson,Cristian Ansaldi,Left Back,Argentina,€1 million,,,,
1679742361-2583,Parma Calcio,Other League,Nemeziz.1,Knit,adidas,null,Agility,Attack,Evan Ferguson,Enrico Del Prato,Right Back,Italy,€2 million,,,,
1679742361-2584,Parma Calcio,Other League,Nemeziz.1,Knit,adidas,null,Agility,Attack,Evan Ferguson,Vasilios Zagaritis,Left Back,Greece,€0 million,,,,
1679742361-2587,Parma Calcio,Other League,Predator Accuracy.1 Low,Primeknit,adidas,Own Your Football,Control,Midfield,Jude Bellingham,Leandro Chichizola,Goalkeeper,Argentina,€1 million,,,,
1679742361-2591,PAOK,Other League,X Speedflow.1,Synthetic,adidas,White Spark,Speed,Attack,Lionel Messi,Andrija Zivkovic,Right Winger,Serbia,€6 million,,,,
1679742361-2592,PAOK,Other League,Copa 20.1,Fusionskin,adidas,Glory Hunter,Control,Midfield,Paulo Dybala,Thomas Murg,Right Winger,Austria,€2 million,,,,
1679742361-2593,PAOK,Other League,Nemeziz 18.1,Knit,adidas,null,Agility,Attack,Evan Ferguson,Khaled Narey,Right Winger,Germany,€3 million,,,,
1679742361-2595,PAOK,Other League,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Taison,Left Winger,Brazil,€2 million,,,,
1679742361-2597,PAOK,Other League,Copa Pure.1,Fusionskin,adidas,Own Your Football,Control,Midfield,Paulo Dybala,Tiago Dantas,Central Midfielder,Portugal,€3 million,,,,
1679742361-2598,PAOK,Other League,Nemeziz.1,Knit,adidas,null,Agility,Attack,Evan Ferguson,Diego Biseswar,Attacking Midfielder,-,€0 million,,,,
1679742361-2602,PAOK,Other League,Copa 20.1,Fusionskin,adidas,null,Control,Midfield,Paulo Dybala,Stefan Schwab,Central Midfielder,Austria,€1 million,,,,
1679742361-2603,PAOK,Other League,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Omar El Kaddouri,Attacking Midfielder,Morocco,€1 million,,,,
1679742361-2604,PAOK,Other League,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Douglas Augusto,Central Midfielder,Brazil,€5 million,,,,
1679742361-2608,PAOK,Other League,X Speedflow.1,Synthetic,adidas,White Spark,Speed,Attack,Lionel Messi,Joan Sastre,Right Back,Spain,€2 million,,,,
1679742361-2610,PAOK,Other League,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Sverrir Ingi Ingason,Center Back,Iceland,€5 million,,,,
1679742361-2612,PAOK,Other League,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Rafa Soares,Left Back,Portugal,€2 million,,,,
1679742361-2616,PAOK,Other League,Predator Accuracy.1 Low,Primeknit,adidas,Own Your Football,Control,Midfield,Jude Bellingham,Giannis Michailidis,Center Back,Greece,€2 million,,,,
1679742361-2619,PAOK,Other League,Copa 20+,Fusionskin,adidas,null,Control,Midfield,Paulo Dybala,Dominik Kotarski,Goalkeeper,Croatia,€2 million,,,,
1679742361-2620,PAOK,Other League,Predator Freak.1,null,adidas,Meteorite,Control,null,Jude Bellingham,Zivko Zivkovic,Goalkeeper,Serbia,€0 million,,,,
1679742361-2621,PAOK,Other League,X 19.1,Synthetic,adidas,Encryption,Speed,Attack,Lionel Messi,Christos Talichmanidis,Goalkeeper,Greece,€0 million,,,,
1679742361-2625,Panathinaikos,Other League,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Daniel Mancini,Right Winger,Argentina,€3 million,,,,
1679742361-2628,Panathinaikos,Other League,X Speedportal+,Speedskin,adidas,Al Rihla,Speed,Attack,Lionel Messi,Fotis Ioannidis,Center Forward,Greece,€2 million,,,,
1679742361-2629,Panathinaikos,Other League,X Speedportal+,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Aitor Cantalapiedra,Right Winger,Spain,€3 million,,,,
1679742361-2630,Panathinaikos,Other League,X Speedportal.1,Speedskin,adidas,Al Rihla,Speed,Attack,Lionel Messi,Leandro Frroku,Defensive Midfielder,Albania,€0 million,,,,
1679742361-2632,Panathinaikos,Other League,Copa Pure.1,Fusionskin,adidas,Own Your Football,Control,Midfield,Paulo Dybala,Dimitrios Kourbelis,Defensive Midfielder,Greece,€2 million,,,,
1679742361-2635,Panathinaikos,Other League,F50 X Ghosted Adizero,Synthetic,adidas,Memory Lane,Speed,Attack,Lionel Messi,László Kleinheisler,Attacking Midfielder,Hungary,€2 million,,,,
1679742361-2636,Panathinaikos,Other League,Copa Sense.1,K-Leather,adidas,Game Data,Control,Midfield,Paulo Dybala,Alexis Trouillet,Central Midfielder,France,€1 million,,,,
1679742361-2640,Panathinaikos,Other League,Copa Sense.1,K-Leather,adidas,Diamond Edge,Control,Midfield,Paulo Dybala,Achilleas Poungouras,Center Back,Greece,€1 million,,,,
1679742361-2641,Panathinaikos,Other League,X 19.1,Synthetic,adidas,null,Speed,Attack,Lionel Messi,Giannis Kotsiras,Right Back,Greece,€1 million,,,,
1679742361-2642,Panathinaikos,Other League,X Speedflow.1,Synthetic,adidas,White Spark,Speed,Attack,Lionel Messi,Georgios Sideras,Center Back,Greece,€0 million,,,,
1679742361-2643,Panathinaikos,Other League,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Juankar,Left Back,Spain,€1 million,,,,
1679742361-2648,Panathinaikos,Other League,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Georgios Vagiannidis,Right Back,Greece,€1 million,,,,
1679742361-2650,Panathinaikos,Other League,Predator Accuracy+,Primeknit,adidas,Own Your Football,Control,Midfield,Jude Bellingham,Alberto Brignoli,Goalkeeper,Italy,€2 million,,,,
1679742361-2663,USC Palermo,Other League,Nemeziz.1,Knit,adidas,null,Agility,Attack,Evan Ferguson,Samuele Damiani,Defensive Midfielder,Italy,€0 million,,,,
1679742361-2665,USC Palermo,Other League,Nemeziz.1,Knit,adidas,null,Agility,Attack,Evan Ferguson,Marco Sala,Left Back,Italy,€1 million,,,,
1679742361-2666,USC Palermo,Other League,Predator Accuracy.1 Low,Primeknit,adidas,Own Your Football,Control,Midfield,Jude Bellingham,Davide Bettella,Center Back,Italy,€2 million,,,,
1679742361-2671,SC Paderborn 07,Other League,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Robert Leipertz,Right Winger,Germany,€1 million,,,,
1679742361-2672,SC Paderborn 07,Other League,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Marvin Pieringer,Center Forward,Germany,€2 million,,,,
1679742361-2677,SC Paderborn 07,Other League,Predator Accuracy.1 Low,Primeknit,adidas,Own Your Football,Control,Midfield,Jude Bellingham,Uwe Hünemeier,Center Back,Germany,€0 million,,,,
1679742361-2681,SC Paderborn 07,Other League,Predator Accuracy.1 Low,Primeknit,adidas,Own Your Football,Control,Midfield,Jude Bellingham,Leopold Zingerle,Goalkeeper,Germany,€0 million,,,,
1679742361-2683,1. FC Nürnberg,Other League,Nemeziz.1,Knit,adidas,null,Agility,Attack,Evan Ferguson,Pascal Köpke,Center Forward,Germany,€1 million,,,,
1679742361-2685,1. FC Nürnberg,Other League,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Benjamin Goller,Right Winger,Germany,€1 million,,,,
1679742361-2686,1. FC Nürnberg,Other League,X Speedportal+,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Danny Blum,Left Winger,Germany,€1 million,,,,
1679742361-2688,1. FC Nürnberg,Other League,Copa 20.1,Fusionskin,adidas,Precision To Blur,Control,Midfield,Paulo Dybala,Jens Castrop,Right Midfielder,Germany,€1 million,,,,
1679742361-2694,1. FC Nürnberg,Other League,Nemeziz.1,Knit,adidas,null,Agility,Attack,Evan Ferguson,Tim Handwerker,Left Back,Germany,€1 million,,,,
1679742361-2698,1. FC Nürnberg,Other League,Predator Accuracy.1 Low,Primeknit,adidas,Own Your Football,Control,Midfield,Jude Bellingham,Florian Hübner,Center Back,Germany,€0 million,,,,
1679742361-2704,Norwich City,Other League,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Christos Tzolis,Left Winger,Greece,€7 million,,,,
1679742361-2707,Norwich City,Other League,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Teemu Pukki,Center Forward,Finland,€3 million,,,,
1679742361-2710,Norwich City,Other League,X Speedflow.1,Synthetic,adidas,Meteorite,Speed,Attack,Lionel Messi,Jacob Lungi Sörensen,Defensive Midfielder,Denmark,€1 million,,,,
1679742361-2712,Norwich City,Other League,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Kenny McLean,Central Midfielder,Scotland,€2 million,,,,
1679742361-2713,Norwich City,Other League,Predator Accuracy.1 Low,Primeknit,adidas,Own Your Football,Control,Midfield,Jude Bellingham,Isaac Hayden,Defensive Midfielder,England,€5 million,,,,
1679742361-2714,Norwich City,Other League,X Speedportal+,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Dimitrios Giannoulis,Left Back,Greece,€4 million,,,,
1679742361-2717,Norwich City,Other League,Predator Accuracy.1 Low,Primeknit,adidas,Own Your Football,Control,Midfield,Jude Bellingham,Ben Gibson,Center Back,England,€3 million,,,,
1679742361-2718,Norwich City,Other League,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Max Aarons,Right Back,England,€18 million,,,,
1679742361-2719,Norwich City,Other League,Nemeziz.1,Knit,adidas,null,Agility,Attack,Evan Ferguson,Sam Byram,Right Back,England,€2 million,,,,
1679742361-2720,Norwich City,Other League,Nemeziz.1,Knit,adidas,null,Agility,Attack,Evan Ferguson,Sam McCallum,Left Back,England,€3 million,,,,
1679742361-2725,Nîmes Olympique,Other League,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Rafiki Saïd,Left Winger,-,€0 million,,,,
1679742361-2727,Nîmes Olympique,Other League,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Mehdi Zerkane,Right Winger,Algeria,€1 million,,,,
1679742361-2728,Nîmes Olympique,Other League,Nemeziz.1,Knit,adidas,null,Agility,Attack,Evan Ferguson,Nicolas Benezet,Left Winger,France,€0 million,,,,
1679742361-2737,Nîmes Olympique,Other League,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Patrick Burner,Right Back,Martinique,€1 million,,,,
1679742361-2740,Nîmes Olympique,Other League,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Lucas Dias,Goalkeeper,France,€0 million,,,,
1679742361-2747,New England Revolution,Other League,Predator Accuracy.1 Low,Primeknit,adidas,Own Your Football,Control,Midfield,Jude Bellingham,Andrew Farrell,Center Back,United States,€1 million,,,,
1679742361-2749,AS Nancy Lorraine,Other League,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Diafra Sakho,Center Forward,Senegal,€0 million,,,,
1679742361-2758,Middlesbrough,Other League,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Rodrigo Muniz,Center Forward,Brazil,€5 million,,,,
1679742361-2762,Middlesbrough,Other League,Predator Accuracy.1 Low,Primeknit,adidas,Own Your Football,Control,Midfield,Jude Bellingham,Dan Barlaser,Central Midfielder,England,€2 million,,,,
1679742361-2771,FC Metz,Other League,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Lamine Gueye,Right Winger,Senegal,€2 million,,,,
1679742361-2775,FC Metz,Other League,Predator Accuracy.1 Low,Primeknit,adidas,Own Your Football,Control,Midfield,Jude Bellingham,Habib Maïga,Defensive Midfielder,-,€3 million,,,,
1679742361-2777,FC Metz,Other League,Nemeziz.1,Knit,adidas,null,Agility,Attack,Evan Ferguson,Youssef Maziz,Attacking Midfielder,France,€2 million,,,,
