Dist Code,Year,State Code,State Name,Dist Name,PRIMARY SECTOR CONSTANT PRICES (in Millions Rs),PRIMARY SECTOR CURRENT PRICES (in Million Rs),PRIMARY SECTOR CONSTANT SHARES (Percent),PRIMARY SECTOR CURRENT SHARES (Percent),SECONDARY SECTOR CONSTANT PRICES (Millions in Rs),SECONDARY SECTOR CURRENT PRICES (Millions in Rs),SECONDARY SECTOR CONSTANT SHARES (Percent),SECONDARY SECTOR CURRENT SHARES (Percent),TERTIARY SECTOR CONSTANT PRICES (Millions in Rs),TERTIARY SECTOR CURRENT PRICES (Millions in Rs),TERTIARY SECTOR CONSTANT SHARES (Percent),TERTIARY SECTOR CURRENT SHARES (Percent),Total Constant Prices (in Millions Rs),Total Current Prices (in Millions Rs),Per Capita Current Prices (1000 in Rs)
37,2010 (2004),6,Madhya Pradesh,Sehore,10747,17680,40.23,43.13,3892,5689,14.57,13.88,12076,17624,45.2,42.99,26716,40993,32
37,2011 (2004),6,Madhya Pradesh,Sehore,12531,22210,42.67,45.54,3847,6008,13.1,12.32,12991,20550,44.23,42.14,29369,48767,37
37,2012 (2004),6,Madhya Pradesh,Sehore,14615,28669,44.57,47.88,4056,6773,12.37,11.31,14119,24436,43.06,40.81,32790,59877,45
37,2013 (2004),6,Madhya Pradesh,Sehore,17660,39408,47.23,52.18,4179,7580,11.18,10.04,15549,28532,41.59,37.78,37388,75520,55
38,2007 (2004),6,Madhya Pradesh,Raisen,5499,6591,27.7,27.68,5678,6774,28.6,28.45,8678,10447,43.71,43.87,19854,23811,19
38,2008 (2004),6,Madhya Pradesh,Raisen,5650,7585,25.8,26.58,6860,8829,31.33,30.94,9389,12117,42.87,42.47,21899,28532,23
38,2009 (2004),6,Madhya Pradesh,Raisen,7011,10382,28.25,30.32,7259,9695,29.25,28.31,10547,14168,42.5,41.37,24817,34245,27
38,2010 (2004),6,Madhya Pradesh,Raisen,6830,11261,26.01,28.36,7944,11466,30.26,28.88,11482,16976,43.73,42.76,26256,39703,30
38,2011 (2004),6,Madhya Pradesh,Raisen,7357,13122,27.29,29.74,7425,11455,27.54,25.96,12176,19549,45.17,44.3,26958,44126,33
38,2012 (2004),6,Madhya Pradesh,Raisen,7922,15595,27.51,30.32,7752,12802,26.92,24.89,13125,23046,45.58,44.8,28798,51442,38
38,2013 (2004),6,Madhya Pradesh,Raisen,8808,19572,28.37,32.55,7951,14009,25.61,23.3,14292,26555,46.03,44.16,31051,60136,44
39,2007 (2004),6,Madhya Pradesh,Vidisha,6253,7491,31.18,31.19,4032,4841,20.1,20.16,9770,11683,48.72,48.65,20055,24015,18
39,2008 (2004),6,Madhya Pradesh,Vidisha,6571,8803,29.73,30.54,4894,6401,22.15,22.21,10634,13619,48.12,47.25,22099,28822,21
39,2009 (2004),6,Madhya Pradesh,Vidisha,6690,9879,27.62,29.57,5281,7202,21.8,21.56,12254,16324,50.58,48.87,24225,33405,24
39,2010 (2004),6,Madhya Pradesh,Vidisha,5919,9739,23.47,25.65,5931,8716,23.52,22.95,13371,19519,53.02,51.4,25220,37974,27
39,2011 (2004),6,Madhya Pradesh,Vidisha,6390,11347,23.19,25.4,6754,10555,24.51,23.63,14412,22771,52.3,50.97,27556,44672,31
39,2012 (2004),6,Madhya Pradesh,Vidisha,6894,13541,23.03,25.7,7128,11860,23.81,22.51,15912,27291,53.16,51.79,29934,52692,35
39,2013 (2004),6,Madhya Pradesh,Vidisha,7689,17127,23.6,27.6,7348,13112,22.56,21.13,17539,31822,53.84,51.28,32575,62061,41
40,2007 (2004),6,Madhya Pradesh,Betul,8375,10030,32.73,32.81,4848,5784,18.95,18.92,12365,14758,48.32,48.27,25588,30572,20
40,2008 (2004),6,Madhya Pradesh,Betul,9243,12402,32.3,33.16,5585,7309,19.52,19.54,13791,17689,48.19,47.3,28618,37400,25
40,2009 (2004),6,Madhya Pradesh,Betul,8963,13292,29.13,31.17,6000,8165,19.5,19.15,15804,21186,51.37,49.68,30767,42643,28
40,2010 (2004),6,Madhya Pradesh,Betul,10019,16529,29.35,31.81,6441,9203,18.87,17.71,17681,26226,51.79,50.48,34140,51957,33
40,2011 (2004),6,Madhya Pradesh,Betul,11599,20669,30.72,33.25,6667,10061,17.66,16.18,19487,31440,51.62,50.57,37754,62170,39
40,2012 (2004),6,Madhya Pradesh,Betul,13443,26437,31.92,35.02,7107,10915,16.88,14.46,21565,38145,51.21,50.53,42115,75497,47
40,2013 (2004),6,Madhya Pradesh,Betul,16123,35887,34.19,38.77,7234,11904,15.34,12.86,23806,44782,50.48,48.37,47163,92574,57
41,2007 (2004),6,Madhya Pradesh,Rajgarh,8883,10637,40.09,39.99,3835,4603,17.31,17.31,9440,11360,42.61,42.71,22157,26599,19
41,2008 (2004),6,Madhya Pradesh,Rajgarh,6851,9180,31.46,32.21,4696,6103,21.57,21.41,10228,13218,46.97,46.38,21776,28501,20
41,2009 (2004),6,Madhya Pradesh,Rajgarh,9329,13773,36.67,38.79,5005,6782,19.67,19.1,11108,14954,43.66,42.11,25443,35508,24
41,2010 (2004),6,Madhya Pradesh,Rajgarh,11887,19545,40.05,42.63,5590,8194,18.83,17.87,12204,18111,41.12,39.5,29681,45850,30
41,2011 (2004),6,Madhya Pradesh,Rajgarh,14772,26149,44.05,46.57,5707,8954,17.02,15.95,13057,21043,38.93,37.48,33536,56146,36
41,2012 (2004),6,Madhya Pradesh,Rajgarh,18369,36007,47.57,50.57,6237,10475,16.15,14.71,14012,24719,36.28,34.72,38618,71200,45
41,2013 (2004),6,Madhya Pradesh,Rajgarh,23676,52874,52.16,56.81,6321,11423,13.93,12.27,15393,28780,33.91,30.92,45390,93077,58
42,2007 (2004),6,Madhya Pradesh,Shajapur,11244,13463,43.7,43.68,4174,4979,16.22,16.16,10310,12378,40.07,40.16,25728,30820,22
42,2008 (2004),6,Madhya Pradesh,Shajapur,12513,16753,43.63,44.57,5035,6476,17.56,17.23,11132,14358,38.81,38.2,28680,37587,26
42,2009 (2004),6,Madhya Pradesh,Shajapur,14726,21719,45.22,47.63,5496,7348,16.88,16.11,12342,16531,37.9,36.25,32563,45598,31
42,2010 (2004),6,Madhya Pradesh,Shajapur,15298,25144,44.9,47.75,5387,7811,15.81,14.83,13385,19703,39.29,37.42,34070,52658,35
42,2011 (2004),6,Madhya Pradesh,Shajapur,18625,32942,49.26,51.99,4782,7471,12.65,11.79,14402,22950,38.09,36.22,37809,63364,42
42,2012 (2004),6,Madhya Pradesh,Shajapur,22682,44444,52.6,55.83,4880,8124,11.32,10.2,15561,27044,36.09,33.97,43123,79611,52
42,2013 (2004),6,Madhya Pradesh,Shajapur,28632,63965,56.5,61.29,4932,8887,9.73,8.52,17113,31507,33.77,30.19,50677,104359,67
43,2007 (2004),6,Madhya Pradesh,Hoshangabad,7810,9356,29.95,30.1,5194,6230,19.92,20.04,13070,15498,50.13,49.86,26074,31084,26
43,2008 (2004),6,Madhya Pradesh,Hoshangabad,8304,11131,28.54,29.51,6305,8164,21.67,21.64,14489,18423,49.79,48.84,29098,37718,32
