STATE,YEAR,Gain,Property Dispute,Personal Vendetta or Enemity,Love Affairs/ Sexual relations,Dowry,Lunacy,Witchcraft,Communalism,Casteism,Class Conflict,Political Reasons,Terrorists/ Extremists,Other Causes,Total
GOA,2010,3,0,10,2,0,0,0,0,0,0,0,0,20,35
GUJARAT,2010,66,90,118,131,3,8,5,1,2,0,0,0,624,1048
HARYANA,2010,40,241,215,42,17,1,57,0,0,2,0,0,390,1005
HIMACHAL PRADESH,2010,3,12,5,10,0,0,0,0,0,0,0,0,102,132
JAMMU & KASHMIR,2010,1,20,9,8,2,0,0,0,0,0,0,77,100,217
JHARKHAND,2010,154,259,146,105,36,1,15,0,0,0,9,48,916,1689
KARNATAKA,2010,71,71,118,99,67,0,1,2,1,0,8,0,1367,1805
KERALA,2010,25,10,103,5,0,2,0,0,0,0,6,0,212,363
MADHYA PRADESH,2010,81,342,492,175,44,3,18,0,5,9,19,0,1235,2423
MAHARASHTRA,2010,69,140,169,236,116,6,11,1,0,0,4,31,1961,2744
MANIPUR,2010,0,0,0,0,0,0,0,0,0,0,0,29,63,92
MEGHALAYA,2010,23,11,19,2,0,0,2,0,0,3,3,4,67,134
MIZORAM,2010,4,0,1,10,0,0,0,0,0,0,0,0,33,48
NAGALAND,2010,0,0,0,0,0,0,0,0,0,0,0,2,43,45
ODISHA,2010,48,51,140,66,309,0,31,0,0,3,2,8,650,1308
PUNJAB,2010,8,71,63,137,6,0,0,0,0,0,0,0,622,907
RAJASTHAN,2010,28,56,77,45,39,0,2,1,0,0,0,0,1173,1421
SIKKIM,2010,3,0,4,1,0,0,0,0,0,1,0,0,8,17
TAMIL NADU,2010,153,164,316,237,6,0,0,0,1,0,5,0,993,1875
TRIPURA,2010,20,32,57,13,14,0,0,0,0,0,0,1,13,150
UTTAR PRADESH,2010,138,161,220,282,0,0,0,1,1,0,1,0,3597,4401
UTTARAKHAND,2010,7,5,0,13,0,0,0,0,0,0,0,0,151,176
WEST BENGAL,2010,49,43,145,27,285,1,0,0,0,0,38,145,1665,2398
TOTAL (STATES),2010,1616,3060,3269,2302,1302,33,178,18,21,28,124,537,20208,32696
A & N ISLANDS,2010,0,2,2,1,0,0,0,0,0,0,0,0,4,9
CHANDIGARH,2010,0,0,3,2,0,0,0,0,0,0,0,0,16,21
D & N HAVELI,2010,0,0,0,1,0,0,0,0,0,0,0,0,5,6
DAMAN & DIU,2010,0,0,2,0,0,0,0,0,0,0,0,0,3,5
