id,title,short_description,game_url,genre,platform,publisher,developer,release_date,freetogame_profile_url
320,Dungeons and Dragons Online,A free-to-play MMORPG based on the beloved D&D RPG that started it all.,https://www.freetogame.com/open/dungeons-dragons-online,MMORPG,PC (Windows),Warner Bros. Interactive Entertainment,"Turbine, Inc.",2006-02-28,https://www.freetogame.com/dungeons-dragons-online
323,Flyff: Fly For Fun,A free-to-play anime MMORPG with charming visual aesthetic and an addictive gameplay.,https://www.freetogame.com/open/flyff,MMORPG,PC (Windows),Webzen,Gala Lab Corp (formerly Aeonsoft),2005-12-25,https://www.freetogame.com/flyff
324,Dream of Mirror Online,A free to play fantasy MMORPG with tons of social features.,https://www.freetogame.com/open/domo,MMORPG,PC (Windows),SubaGames,SoftStar,2005-09-03,https://www.freetogame.com/domo
327,Everquest 2,A free to play 3D fantasy MMORPG and the sequel to EverQuest.,https://www.freetogame.com/open/everquest-2,MMORPG,PC (Windows),Daybreak Games,Daybreak Games,2004-11-08,https://www.freetogame.com/everquest-2
329,Kal Online,A Korean Fantasy MMORPG developed by Inixsoft.,https://www.freetogame.com/open/kalonline,MMORPG,PC (Windows),Inisxoft,Inisxoft,2004-06-11,https://www.freetogame.com/kalonline
330,Lineage 2,A 3D fantasy MMORPG with a strong emphasis on PvP.,https://www.freetogame.com/open/lineage-2,MMORPG,PC (Windows),NCSoft,NCSoft,2004-04-27,https://www.freetogame.com/lineage-2
333,Metin2,A classic free to play 3D MMORPG with a retro feel.,https://www.freetogame.com/open/metin2,MMORPG,PC (Windows),Gameforge,Ymir Entertainment,2006-12-17,https://www.freetogame.com/metin2
334,Mu Online,A free to play Dungeon Crawler game like Diablo!,https://www.freetogame.com/open/mu-online,MMORPG,PC (Windows),Webzen,Webzen,2003-10-06,https://www.freetogame.com/mu-online
335,Ragnarok Online,"A popular fantasy MMORPG, back to the golden age of MMORPGs.",https://www.freetogame.com/open/ragnarok-online,MMORPG,PC (Windows),Gravity Interactive ,Gravity Interactive ,2003-06-01,https://www.freetogame.com/ragnarok-online
337,Priston Tale,A free to play action-oriented fantasy MMORPG!,https://www.freetogame.com/open/priston-tale,MMORPG,PC (Windows),Suba Games,Trglow Pictures,2007-05-17,https://www.freetogame.com/priston-tale
446,Legends of Aria,"A sandbox MMORPG featuring a skill-based system, content that will appeal to both PvE and PvP players, and a robust housing system.",https://www.freetogame.com/open/legends-of-aria,MMORPG,PC (Windows),Citadel Studios Inc,Citadel Studios Inc,2019-08-07,https://www.freetogame.com/legends-of-aria
449,Albion Online,A free-to-play cross-platform sandbox MMO developed and published by Sandbox Interactive GmbH. ,https://www.freetogame.com/open/albion-online,MMORPG,PC (Windows),Sandbox Interactive GmbH,Sandbox Interactive GmbH,2017-07-17,https://www.freetogame.com/albion-online
517,Lost Ark,"Smilegate’s free-to-play multiplayer ARPG is a massive adventure filled with lands waiting to be explored, people waiting to be met, and an ancient evil waiting to be destroyed.",https://www.freetogame.com/open/lost-ark,ARPG,PC (Windows),Amazon Games,Smilegate RPG,2022-02-11,https://www.freetogame.com/lost-ark
518,Swords of Legends Online,Explore a fantasy world based on Chinese mythology in Gameforge’s action MMORPG Swords of Legends Online!,https://www.freetogame.com/open/swords-of-legends-online,MMORPG,PC (Windows),Gameforge,Wangyuan Shengtang Entertainment,2021-07-09,https://www.freetogame.com/swords-of-legends-online
521,Diablo Immortal,"Built for mobile and also released on PC, Diablo Immortal fills in the gaps between Diablo II and III in an MMOARPG environment.",https://www.freetogame.com/open/diablo-immortal,MMOARPG,PC (Windows),Blizzard Entertainment,Blizzard Entertainment,2022-06-02,https://www.freetogame.com/diablo-immortal
526,Chimeraland,"Explore the open-world sandbox MMO game set in a mythical world. Play as one of a large number of races, from jelly-fish to dragon-person – or even a regular old human if that’s your thing. Explore the land, gather resources, craft items, build homes and more.",https://www.freetogame.com/open/chimeraland,MMORPG,PC (Windows),Level Infinite,Pixel soft,2022-07-14,https://www.freetogame.com/chimeraland
527,Aero Tales Online,Aero Tales Online: The World is a free-to-play 3D anime-style MMORPG with PvP and PvE elements. The game revolves around the “mysterious story of the Key of Skylight”.,https://www.freetogame.com/open/aero-tales-online,MMORPG,PC (Windows),Anisage Games,Anisage Games,2022-08-01,https://www.freetogame.com/aero-tales-online
528,Noah’s Heart,Noah’s Heart is an open-world MMORPG game with a focus on exploration and socialization.,https://www.freetogame.com/open/noahs-heart,MMORPG,PC (Windows),Archosaur Games,Archosaur Games,2022-07-28,https://www.freetogame.com/noahs-heart
529,Tower of Fantasy,"Tower of Fantasy is a 3D open-world RPG, anime-style sci-fi MMO RPG game with unique characters and beautiful open vistas!",https://www.freetogame.com/open/tower-of-fantasy,MMORPG,PC (Windows),Level Infinite,Hotta Studio,2022-08-10,https://www.freetogame.com/tower-of-fantasy
549,Summoners War: Chronicles,A multi-platform ARPG set in the Summoners War universe.,https://www.freetogame.com/open/summoners-war-chronicles,MMORPG,PC (Windows),Com2uS,Com2uS,2022-11-09,https://www.freetogame.com/summoners-war-chronicles
