uniqueID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,album_name,release_date,album_id
0,0.28,0.478,9,-8.755,0,0.037,0.674,5.85E-05,0.483,0.0807,111.65,audio_features,71h3L4e8j3bwMpjfjteAYE,spotify:track:71h3L4e8j3bwMpjfjteAYE,https://api.spotify.com/v1/tracks/71h3L4e8j3bwMpjfjteAYE,https://api.spotify.com/v1/audio-analysis/71h3L4e8j3bwMpjfjteAYE,96240,4,Dawn FM,Dawn FM (Alternate World),07-01-22,2JPcP8HUk2vm7Q8eDJlj0a
1,0.728,0.741,6,-7.075,0,0.0473,0.000582,0.00206,0.33,0.31,123.006,audio_features,13WW1ZalDNFmKt4R8XhsGi,spotify:track:13WW1ZalDNFmKt4R8XhsGi,https://api.spotify.com/v1/tracks/13WW1ZalDNFmKt4R8XhsGi,https://api.spotify.com/v1/audio-analysis/13WW1ZalDNFmKt4R8XhsGi,212166,4,Gasoline,Dawn FM (Alternate World),07-01-22,2JPcP8HUk2vm7Q8eDJlj0a
2,0.805,0.498,7,-7.927,0,0.0737,0.0203,2.37E-05,0.085,0.636,121.006,audio_features,7uGX8wm0pIenP3XVEhOYQ0,spotify:track:7uGX8wm0pIenP3XVEhOYQ0,https://api.spotify.com/v1/tracks/7uGX8wm0pIenP3XVEhOYQ0,https://api.spotify.com/v1/audio-analysis/7uGX8wm0pIenP3XVEhOYQ0,214215,4,How Do I Make You Love Me?,Dawn FM (Alternate World),07-01-22,2JPcP8HUk2vm7Q8eDJlj0a
3,0.698,0.769,8,-7.154,1,0.0368,0.0128,0.00166,0.238,0.354,121.02,audio_features,1dyMD7bkPNIrwbHXjdLAls,spotify:track:1dyMD7bkPNIrwbHXjdLAls,https://api.spotify.com/v1/tracks/1dyMD7bkPNIrwbHXjdLAls,https://api.spotify.com/v1/audio-analysis/1dyMD7bkPNIrwbHXjdLAls,339023,4,Take My Breath,Dawn FM (Alternate World),07-01-22,2JPcP8HUk2vm7Q8eDJlj0a
4,0.735,0.795,11,-6.523,0,0.113,0.0296,3.18E-05,0.0678,0.905,122,audio_features,3r7OYSMC4p5YTyjCplXOaQ,spotify:track:3r7OYSMC4p5YTyjCplXOaQ,https://api.spotify.com/v1/tracks/3r7OYSMC4p5YTyjCplXOaQ,https://api.spotify.com/v1/audio-analysis/3r7OYSMC4p5YTyjCplXOaQ,188918,4,Sacrifice,Dawn FM (Alternate World),07-01-22,2JPcP8HUk2vm7Q8eDJlj0a
5,0.447,0.512,5,-8.67,0,0.128,0.679,2.98E-05,0.096,0.571,67.291,audio_features,3nQv9GfSPsgndLnAQ5uNmy,spotify:track:3nQv9GfSPsgndLnAQ5uNmy,https://api.spotify.com/v1/tracks/3nQv9GfSPsgndLnAQ5uNmy,https://api.spotify.com/v1/audio-analysis/3nQv9GfSPsgndLnAQ5uNmy,96214,3,A Tale By Quincy,Dawn FM (Alternate World),07-01-22,2JPcP8HUk2vm7Q8eDJlj0a
6,0.617,0.762,0,-4.467,0,0.0469,0.232,0,0.291,0.823,92.971,audio_features,5pzEL5TSvnT36z8fnMuyJL,spotify:track:5pzEL5TSvnT36z8fnMuyJL,https://api.spotify.com/v1/tracks/5pzEL5TSvnT36z8fnMuyJL,https://api.spotify.com/v1/audio-analysis/5pzEL5TSvnT36z8fnMuyJL,214191,4,Out of Time,Dawn FM (Alternate World),07-01-22,2JPcP8HUk2vm7Q8eDJlj0a
7,0.469,0.623,1,-4.432,1,0.0302,0.345,0,0.588,0.198,134.943,audio_features,3WTrHzV21MrJxepM6rNeIA,spotify:track:3WTrHzV21MrJxepM6rNeIA,https://api.spotify.com/v1/tracks/3WTrHzV21MrJxepM6rNeIA,https://api.spotify.com/v1/audio-analysis/3WTrHzV21MrJxepM6rNeIA,209778,4,"Here We Go… Again (feat. Tyler, the Creator)",Dawn FM (Alternate World),07-01-22,2JPcP8HUk2vm7Q8eDJlj0a
8,0.737,0.564,4,-7.045,0,0.105,0.436,0,0.351,0.528,90,audio_features,78kBfiOIowbBQ96iQGQCl8,spotify:track:78kBfiOIowbBQ96iQGQCl8,https://api.spotify.com/v1/tracks/78kBfiOIowbBQ96iQGQCl8,https://api.spotify.com/v1/audio-analysis/78kBfiOIowbBQ96iQGQCl8,163504,4,Best Friends,Dawn FM (Alternate World),07-01-22,2JPcP8HUk2vm7Q8eDJlj0a
9,0.702,0.586,9,-7.83,0,0.0313,0.0388,7.27E-05,0.156,0.608,134.951,audio_features,5rXdRfS0EPQ5zleZ34Rs8k,spotify:track:5rXdRfS0EPQ5zleZ34Rs8k,https://api.spotify.com/v1/tracks/5rXdRfS0EPQ5zleZ34Rs8k,https://api.spotify.com/v1/audio-analysis/5rXdRfS0EPQ5zleZ34Rs8k,199111,4,Is There Someone Else?,Dawn FM (Alternate World),07-01-22,2JPcP8HUk2vm7Q8eDJlj0a
